Country Name,ISO3,Series Code,CorruptionControlEstimate
New Zealand,NZL,CC.EST,2.201695204
Nicaragua,NIC,CC.EST,-1.236290574
Niger,NER,CC.EST,-0.546674609
Nigeria,NGA,CC.EST,-1.070116878
Niue,NIU,CC.EST,..
North Macedonia,MKD,CC.EST,-0.351957202
Norway,NOR,CC.EST,2.14091754
Oman,OMN,CC.EST,0.086335801
Pakistan,PAK,CC.EST,-0.785676658
Palau,PLW,CC.EST,-0.428823858
Panama,PAN,CC.EST,-0.570509851
Papua New Guinea,PNG,CC.EST,-0.755582631
Paraguay,PRY,CC.EST,-1.007155418
Peru,PER,CC.EST,-0.63322556
Philippines,PHL,CC.EST,-0.508519769
Poland,POL,CC.EST,0.572010398
Portugal,PRT,CC.EST,0.768555641
Puerto Rico,PRI,CC.EST,0.400498539
Qatar,QAT,CC.EST,0.806125164
Reunion,REU,CC.EST,0.680942774
Romania,ROU,CC.EST,-0.037915125
Russian Federation,RUS,CC.EST,-0.900473714
Rwanda,RWA,CC.EST,0.599220455
Samoa,WSM,CC.EST,0.625925839
San Marino,SMR,CC.EST,..
Sao Tome and Principe,STP,CC.EST,0.257983625
Saudi Arabia,SAU,CC.EST,0.306925714
Senegal,SEN,CC.EST,0.058420014
Serbia,SRB,CC.EST,-0.437255442
Seychelles,SYC,CC.EST,1.633352399
Sierra Leone,SLE,CC.EST,-0.431214958
Singapore,SGP,CC.EST,2.171539545
Slovak Republic,SVK,CC.EST,0.235205427
Slovenia,SVN,CC.EST,0.71923095
Solomon Islands,SLB,CC.EST,-0.140978411
Somalia,SOM,CC.EST,-1.778052807
South Africa,ZAF,CC.EST,0.022103222
South Sudan,SSD,CC.EST,-1.817446232
Spain,ESP,CC.EST,0.741642237
Sri Lanka,LKA,CC.EST,-0.334563583
St. Kitts and Nevis,KNA,CC.EST,0.438981831
St. Lucia,LCA,CC.EST,0.586345255
St. Vincent and the Grenadines,VCT,CC.EST,0.803943515
Sudan,SDN,CC.EST,-1.289687276
Suriname,SUR,CC.EST,-0.396517456
Sweden,SWE,CC.EST,2.130344868
Switzerland,CHE,CC.EST,1.989697456
Syrian Arab Republic,SYR,CC.EST,-1.781922817
