Country Name,ISO3,CC.EST,GE.EST,RL.EST
Latvia,LVA,0.746790171,0.872736692,0.981282294
Lebanon,LBN,-1.22970438,-1.28703928,-1.073566079
Lesotho,LSO,-0.315276623,-0.913774908,-0.410292715
Liberia,LBR,-0.91611737,-1.376985192,-0.925903976
Libya,LBY,-1.567404628,-1.722766995,-1.784263253
Liechtenstein,LIE,1.701240659,1.51467216,1.743786216
Lithuania,LTU,0.851239979,1.056605458,1.109867454
Luxembourg,LUX,1.871590853,1.719043255,1.786879659
"Macao SAR, China",MAC,0.846362829,1.132214189,0.811503649
Madagascar,MDG,-0.933383822,-1.000361085,-0.866766155
Malawi,MWI,-0.300203651,-0.768746436,-0.238201827
Malaysia,MYS,0.170527324,0.991686642,0.557822585
Maldives,MDV,-0.371216476,0.386397958,-0.171864733
Mali,MLI,-0.867007017,-1.223187923,-0.902032435
Malta,MLT,0.31758076,0.892640531,0.864450693
Marshall Islands,MHL,0.047637369,-1.488239288,0.240014657
Martinique,MTQ,0.680942774,0.976894975,0.695353568
Mauritania,MRT,-0.821054399,-0.733716249,-0.670558989
Mauritius,MUS,0.467553556,0.849402547,0.873426914
Mexico,MEX,-1.001628876,-0.31216228,-0.799713492
"Micronesia, Fed. Sts.",FSM,0.562800407,0.124419935,0.520998061
Moldova,MDA,-0.447890878,-0.404990613,-0.331918448
Monaco,MCO,..,..,..
Mongolia,MNG,-0.528645813,-0.467179894,-0.225342378
Montenegro,MNE,-0.019546321,0.006132639,-0.059087977
Morocco,MAR,-0.433994025,-0.066775173,-0.25322035
Mozambique,MOZ,-0.811555684,-0.765344799,-1.03502357
Myanmar,MMR,-1.027559519,-1.410243511,-1.456172585
Namibia,NAM,0.258660823,0.059346285,0.362279296
Nauru,NRU,-0.428823858,-0.380701691,-0.777099788
Nepal,NPL,-0.530735135,-0.871526241,-0.466634363
Netherlands,NLD,2.035641909,1.766682148,1.739347577
Netherlands Antilles,ANT,..,..,..
New Zealand,NZL,2.201695204,1.350751281,1.818318009
Nicaragua,NIC,-1.236290574,-0.852298975,-1.355992436
Niger,NER,-0.546674609,-0.614557326,-0.404807776
Nigeria,NGA,-1.070116878,-0.995998681,-0.855664015
Niue,NIU,..,..,..
North Macedonia,MKD,-0.351957202,-0.084261909,-0.075887896
Norway,NOR,2.14091754,1.839355707,1.949851394
Oman,OMN,0.086335801,-0.118082352,0.405818224
Pakistan,PAK,-0.785676658,-0.402694643,-0.63702172
Palau,PLW,-0.428823858,-0.277704775,-0.161713928
Panama,PAN,-0.570509851,0.159396783,-0.247416601
Papua New Guinea,PNG,-0.755582631,-0.887458801,-0.740271628
Paraguay,PRY,-1.007155418,-0.622933626,-0.557476759
Peru,PER,-0.63322556,-0.26079309,-0.51561743
Philippines,PHL,-0.508519769,0.070326045,-0.641974866
Poland,POL,0.572010398,0.292776763,0.444528878
Portugal,PRT,0.768555641,0.99130863,1.133409142
